"プロット タイトル: 21751639"
"#","日付 時間, GMT+03:00","Event, units (LGR S/N: 21751639, SEN S/N: 21751639)","カプラー取り外し (LGR S/N: 21751639)","カプラー取り付け (LGR S/N: 21751639)","ホスト接続 (LGR S/N: 21751639)","ファイルの終わり (LGR S/N: 21751639)"
275,24/04/19 12:30:00,50.8,,,,
276,24/04/19 12:30:33,51.0,,,,
277,24/04/19 12:31:02,51.2,,,,
278,24/04/19 12:31:27,51.4,,,,
279,24/04/19 12:31:59,51.6,,,,
280,24/04/19 12:32:21,51.8,,,,
281,24/04/19 12:32:53,52.0,,,,
282,24/04/19 12:33:27,52.2,,,,
283,24/04/19 12:34:07,52.4,,,,
284,24/04/19 12:34:44,52.6,,,,
285,24/04/19 12:35:53,52.8,,,,
286,24/04/19 12:36:41,53.0,,,,
287,24/04/19 12:38:01,53.2,,,,
288,24/04/19 12:39:31,53.4,,,,
289,24/04/19 12:40:45,53.6,,,,
290,24/04/19 12:41:51,53.8,,,,
291,24/04/19 12:42:36,54.0,,,,
292,24/04/19 12:43:24,54.2,,,,
293,24/04/19 12:44:51,54.4,,,,
294,24/04/19 12:46:32,54.6,,,,
295,24/04/19 12:48:13,54.8,,,,
296,24/04/19 12:50:55,55.0,,,,
297,24/04/19 12:54:50,55.2,,,,
298,24/04/19 13:03:09,55.4,,,,
299,24/04/19 13:04:27,55.6,,,,
300,24/04/19 13:05:43,,,記録,,
301,24/04/19 13:05:44,,,,記録,
302,24/04/19 13:06:34,,記録,,,
303,24/04/19 13:06:36,,,記録,記録,
304,24/04/19 13:07:05,,記録,,,
305,24/04/19 13:08:11,55.8,,,,
306,24/04/19 13:08:16,56.0,,,,
307,24/04/19 16:53:00,56.2,,,,
308,24/04/19 16:56:38,56.4,,,,
309,24/04/19 18:54:53,56.6,,,,
310,24/04/19 19:31:32,56.8,,,,
311,24/04/19 20:16:41,57.0,,,,
312,24/04/19 21:27:32,57.2,,,,
313,24/04/19 22:10:01,57.4,,,,
314,24/04/19 22:18:42,57.6,,,,
315,24/04/20 01:03:06,57.8,,,,
316,24/04/20 01:08:38,58.0,,,,
317,24/04/20 02:39:30,58.2,,,,
318,24/04/20 14:39:05,58.4,,,,
319,24/04/20 14:40:09,58.6,,,,
320,24/04/20 14:41:04,58.8,,,,
321,24/04/20 14:41:55,59.0,,,,
322,24/04/20 14:42:50,59.2,,,,
323,24/04/20 14:44:00,59.4,,,,
324,24/04/20 14:46:23,59.6,,,,
325,24/04/20 14:52:47,59.8,,,,
326,24/04/20 15:06:10,60.0,,,,
327,24/04/20 15:08:16,60.2,,,,
328,24/04/20 15:13:21,60.4,,,,
329,24/04/20 16:10:55,60.6,,,,
330,24/04/21 17:45:12,60.8,,,,
331,24/04/21 17:45:47,61.0,,,,
332,24/04/21 17:46:25,61.2,,,,
333,24/04/21 17:47:28,61.4,,,,
334,24/04/21 17:48:57,61.6,,,,
335,24/04/21 17:52:31,61.8,,,,
336,24/04/21 17:53:29,62.0,,,,
337,24/04/21 17:54:00,62.2,,,,
338,24/04/21 17:54:25,62.4,,,,
339,24/04/21 17:54:51,62.6,,,,
340,24/04/21 17:55:22,62.8,,,,
341,24/04/21 17:56:00,63.0,,,,
342,24/04/21 17:56:42,63.2,,,,
343,24/04/21 17:57:25,63.4,,,,
344,24/04/21 17:58:05,63.6,,,,
345,24/04/21 17:59:05,63.8,,,,
346,24/04/21 17:59:58,64.0,,,,
347,24/04/21 18:00:50,64.2,,,,
348,24/04/21 18:03:19,64.4,,,,
349,24/04/21 18:06:09,64.6,,,,
350,24/04/21 18:08:38,64.8,,,,
351,24/04/21 18:13:23,65.0,,,,
352,24/04/21 18:15:09,65.2,,,,
353,24/04/21 18:18:03,65.4,,,,
354,24/04/21 18:20:11,65.6,,,,
355,24/04/21 18:22:31,65.8,,,,
356,24/04/21 18:24:51,66.0,,,,
357,24/04/21 18:26:24,66.2,,,,
358,24/04/21 18:28:16,66.4,,,,
359,24/04/21 18:30:27,66.6,,,,
360,24/04/21 18:34:24,66.8,,,,
361,24/04/21 18:37:37,67.0,,,,
362,24/04/21 18:39:41,67.2,,,,
363,24/04/21 18:42:32,67.4,,,,
364,24/04/21 18:47:56,67.6,,,,
365,24/04/21 18:55:54,67.8,,,,
366,24/04/21 19:04:25,68.0,,,,
367,24/04/21 19:06:54,68.2,,,,
368,24/04/21 19:10:32,68.4,,,,
369,24/04/21 19:13:48,68.6,,,,
370,24/04/21 19:16:48,68.8,,,,
371,24/04/21 19:21:06,69.0,,,,
372,24/04/21 19:26:39,69.2,,,,
373,24/04/21 19:32:31,69.4,,,,
374,24/04/21 19:38:09,69.6,,,,
375,24/04/21 19:42:37,69.8,,,,
376,24/04/21 19:48:03,70.0,,,,
377,24/04/21 19:59:40,70.2,,,,
378,24/04/21 20:11:50,70.4,,,,
379,24/04/22 01:37:58,70.6,,,,
380,24/04/22 13:44:17,70.8,,,,
381,24/04/22 13:46:09,71.0,,,,
382,24/04/22 13:48:12,71.2,,,,
383,24/04/22 13:48:56,71.4,,,,
384,24/04/22 13:49:19,71.6,,,,
385,24/04/22 13:49:41,71.8,,,,
386,24/04/22 13:49:54,72.0,,,,
387,24/04/22 13:50:07,72.2,,,,
388,24/04/22 13:50:19,72.4,,,,
389,24/04/22 13:50:44,72.6,,,,
390,24/04/22 13:51:17,72.8,,,,
391,24/04/22 13:51:54,73.0,,,,
392,24/04/22 13:52:36,73.2,,,,
393,24/04/22 13:54:18,73.4,,,,
394,24/04/22 13:56:51,73.6,,,,
395,24/04/22 14:09:01,73.8,,,,
396,24/04/22 14:28:38,74.0,,,,
397,24/04/22 14:35:55,74.2,,,,
398,24/04/22 14:40:48,74.4,,,,
399,24/04/22 14:43:06,74.6,,,,
400,24/04/22 14:57:42,74.8,,,,
401,24/04/23 00:56:35,75.0,,,,
402,24/04/23 01:06:04,75.2,,,,
403,24/04/23 01:16:25,75.4,,,,
404,24/04/23 03:56:28,75.6,,,,
405,24/04/23 11:30:36,75.8,,,,
406,24/04/23 11:39:47,76.0,,,,
407,24/04/23 12:05:17,76.2,,,,
408,24/04/23 12:08:01,76.4,,,,
409,24/04/23 12:10:09,76.6,,,,
410,24/04/23 12:11:42,76.8,,,,
411,24/04/23 12:14:10,77.0,,,,
412,24/04/23 12:15:47,77.2,,,,
413,24/04/23 12:16:45,77.4,,,,
414,24/04/23 12:19:13,77.6,,,,
415,24/04/23 12:27:01,77.8,,,,
416,24/04/23 12:33:49,78.0,,,,
417,24/04/23 12:36:28,78.2,,,,
418,24/04/23 12:44:21,78.4,,,,
419,24/04/23 12:56:28,78.6,,,,
420,24/04/23 13:11:08,78.8,,,,
421,24/04/23 13:18:45,79.0,,,,
422,24/04/23 13:52:07,79.2,,,,
423,24/04/23 18:59:08,79.4,,,,
424,24/04/23 19:04:15,79.6,,,,
425,24/04/23 19:09:29,79.8,,,,
426,24/04/23 19:12:43,80.0,,,,
427,24/04/23 19:14:43,80.2,,,,
428,24/04/23 19:17:53,80.4,,,,
429,24/04/23 19:20:39,80.6,,,,
430,24/04/23 19:26:03,80.8,,,,
431,24/04/23 19:34:57,81.0,,,,
432,24/04/23 19:40:23,81.2,,,,
433,24/04/23 19:51:04,81.4,,,,
434,24/04/23 19:59:20,81.6,,,,
435,24/04/23 20:02:29,81.8,,,,
436,24/04/23 20:06:05,82.0,,,,
437,24/04/23 20:10:38,82.2,,,,
438,24/04/23 20:14:23,82.4,,,,
439,24/04/23 20:26:28,82.6,,,,
440,24/04/23 20:30:59,82.8,,,,
441,24/04/23 20:35:48,83.0,,,,
442,24/04/23 20:38:51,83.2,,,,
443,24/04/23 20:41:24,83.4,,,,
444,24/04/23 20:43:58,83.6,,,,
445,24/04/23 20:46:24,83.8,,,,
446,24/04/23 20:47:48,84.0,,,,
447,24/04/23 20:49:16,84.2,,,,
448,24/04/23 20:50:44,84.4,,,,
449,24/04/23 20:52:37,84.6,,,,
450,24/04/23 20:54:30,84.8,,,,
451,24/04/23 20:55:34,85.0,,,,
452,24/04/23 20:56:58,85.2,,,,
453,24/04/23 20:58:15,85.4,,,,
454,24/04/23 20:59:14,85.6,,,,
455,24/04/23 21:00:41,85.8,,,,
456,24/04/23 21:02:07,86.0,,,,
457,24/04/23 21:03:50,86.2,,,,
458,24/04/23 21:05:31,86.4,,,,
459,24/04/23 21:07:12,86.6,,,,
460,24/04/23 21:08:53,86.8,,,,
461,24/04/23 21:10:41,87.0,,,,
462,24/04/23 21:11:52,87.2,,,,
463,24/04/23 21:13:14,87.4,,,,
464,24/04/23 21:14:44,87.6,,,,
465,24/04/23 21:16:12,87.8,,,,
466,24/04/23 21:18:15,88.0,,,,
467,24/04/23 21:21:37,88.2,,,,
468,24/04/23 21:25:48,88.4,,,,
469,24/04/23 21:32:50,88.6,,,,
470,24/04/23 21:40:38,88.8,,,,
471,24/04/23 21:50:08,89.0,,,,
472,24/04/23 22:51:39,89.2,,,,
473,24/04/23 22:56:29,89.4,,,,
474,24/04/23 23:31:12,89.6,,,,
475,24/04/23 23:49:52,89.8,,,,
476,24/04/24 04:20:35,90.0,,,,
477,24/04/24 12:59:35,90.2,,,,
478,24/04/24 12:59:48,90.4,,,,
479,24/04/24 13:00:00,90.6,,,,
480,24/04/24 13:00:12,90.8,,,,
481,24/04/24 13:00:29,91.0,,,,
482,24/04/24 13:01:01,91.2,,,,
483,24/04/24 13:01:35,91.4,,,,
484,24/04/24 13:02:24,91.6,,,,
485,24/04/24 13:04:09,91.8,,,,
486,24/04/24 13:05:26,92.0,,,,
487,24/04/24 13:07:07,92.2,,,,
488,24/04/24 13:16:55,92.4,,,,
489,24/04/24 13:41:52,92.6,,,,
490,24/04/24 20:34:28,92.8,,,,
491,24/04/24 20:39:15,93.0,,,,
492,24/04/24 20:44:42,93.2,,,,
493,24/04/24 20:52:39,93.4,,,,
494,24/04/24 23:51:32,93.6,,,,
495,24/04/24 23:56:00,93.8,,,,
496,24/04/24 23:58:11,94.0,,,,
497,24/04/25 00:00:41,94.2,,,,
498,24/04/25 00:03:43,94.4,,,,
499,24/04/25 00:13:03,94.6,,,,
500,24/04/25 00:15:49,94.8,,,,
501,24/04/25 00:16:39,95.0,,,,
502,24/04/25 00:17:34,95.2,,,,
503,24/04/25 00:19:00,95.4,,,,
504,24/04/25 00:22:51,95.6,,,,
505,24/04/25 00:27:13,95.8,,,,
506,24/04/25 00:30:36,96.0,,,,
507,24/04/25 00:31:26,96.2,,,,
508,24/04/25 00:32:47,96.4,,,,
509,24/04/25 00:34:09,96.6,,,,
510,24/04/25 00:36:27,96.8,,,,
511,24/04/25 00:58:51,97.0,,,,
512,24/04/25 16:18:36,97.2,,,,
513,24/04/25 16:19:57,97.4,,,,
514,24/04/25 16:20:38,97.6,,,,
515,24/04/25 16:21:24,97.8,,,,
516,24/04/25 16:21:50,98.0,,,,
517,24/04/25 16:22:35,98.2,,,,
518,24/04/25 16:23:10,98.4,,,,
519,24/04/25 16:23:25,98.6,,,,
520,24/04/25 16:23:41,98.8,,,,
521,24/04/25 16:23:57,99.0,,,,
522,24/04/25 16:24:05,99.2,,,,
523,24/04/25 16:24:13,99.4,,,,
524,24/04/25 16:24:19,99.6,,,,
